index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
Arachnid Mesh	100	1		1	1	70	70	ulc	spiderweb sash			5	5000	blac	blac						ac%		90	120	cast2		10	25	oskill	Venom	3	11	allskills		1	1	slow		10	10	mana%		5	5																									0
Nosferatu's Coil	100	1		1	1	68	51	uvc	vampirefang belt			5	5000								str		15	15	mana-kill		2	2	slow		10	10	lifesteal		5	7	swing2		5	15	light		1	2																									0
Metalgrid	100	1		1	1	70	70	amu	amulet			5	5000								ac		300	350	res-all		25	35	att		400	450	oskill	IronGolem	10	20	oskill	Iron Maiden	1	1																													0
Verdugo's Hearty Cord	100	1		1	1	70	63	umc	mithril coil			5	5000	blac	blac						ac%		90	140	vit		10	50	vit		15	20	balance2		5	15	red-dmg%		10	15	regen		10	13																									0
Sigurd's Staunch	100	1		1	1	70	69	utb	Mirrored Boots			5	5000								ac%		100	100	move2		10	50	ac-miss		100	170	hp		30	50	mana		30	50	abs-ltng%		10	10	red-dmg		20	25	red-mag		5	5	regen		5	10													0
Carrion Wind	100	1		1	1	68	60	rin	ring			3	5000								ac-miss		100	160	lifesteal		10	20	res-pois		35	55	gethit-skill	Poison Nova	10	10	oskill	Plague Poppy	10	20	hit-skill	Twister	8	13	dmg-to-mana		2	2	allskills		1	1																	0
Giantskull	100	1		1	1	70	65	uh9	bone visage			3	5000	lgry	lgry		invbhm				ac		250	320	str		25	35	crush		2	2	knock		1	1																																	0
Ironward	100	1		1	1	68	60	7ws	caduceus			3	5000	blac	blac						dmg%		100	250	slow		25	25	att%		150	200	swing2		5	15	dmg-mag		180	440	red-dmg		4	7	dmg		140	285	skilltab	9	1	5	crush		6	6	splash	proc_SplashDamage	100	1									0
Annihilus	100	1		1	1	70	1	cm1	charm		1	3	5000			flpmss	invmss	item_gem	12	item_gem	allskills		1	3	all-stats		10	25	res-all		15	20	addxp		10	25																																	0
Arioc's Needle	100	1		1	1	70	70	7sr	hyperion spear			3	5000								dmg%		100	230	dmg-pois	250	403	403	deadly		20	55	ignore-ac		1	1	allskills		1	6	swing2		15	35	splash	proc_SplashDamage	100	1																					0
Cranebeak	100	1		1	1	70	63	7mp	war spike			3	5000	dgry			invmpiu				dmg%		100	250	dmg-ltng		1	305	swing2		20	50	reduce-ac		25	25	mag%		20	50	oskill	Raven	1	20	splash	proc_SplashDamage	100	1																					0
Nord's Tenderizer	100	1		1	1	70	68	7cl	truncheon			3	5000				invclbu				dmg%		100	250	freeze		2	4	swing2		15	30	oskill	Blizzard	12	16	att%		100	210	abs-cold%		5	15	dmg-cold	125	205	455	splash	proc_SplashDamage	100	1																	0
Earthshifter	100	1		1	1	70	69	7gm	thunder maul			3	5000								dmg%		100	250	hit-skill	Eruption	25	14	crush		6	6	swing2		5	15	oskill	Volcano	10	20	skilltab	17	1	10	cast2		5	15	splash	proc_SplashDamage	100	1																	0
Wraithflight	100	1		1	1	70	70	7gl	ghost glaive			3	5000	dblu	dblu						dmg%		100	190	rep-quant	40			lifesteal		9	13	mana-kill		15	15	ethereal		1	1	hit-skill	Decrepify	20	1	splash	proc_SplashDamage	100	1																					0
Bonehew	100	1		1	1	70	64	7o7	ogre axe			3	5000	bwht	bwht						dmg%		100	250	swing2		15	35	oskill	Corpse Explosion	14	20	hit-skill	Bone Spear	33	16	noheal		1	1	splash	proc_SplashDamage	100	1																									0
Ondal's Wisdom	100	1		1	1	70	66	6cs	elder staff			3	5000				invcstu				cast2		30	50	enr		20	55	allskills		1	6	ac		780	920	addxp		10	20	red-mag		5	8	red-dmg%		25	45	splash	proc_SplashDamage	100	1																	0
The Reedeemer	100	1		1	1	70	70	7sc	mighty scepter			3	5000								dmg%		100	250	dmg-demon		100	250	pal		1	2	ease		-30	-60	skill	Redemption	1	4	skill	Holy Bolt	1	5	light		3	3	reduce-ac		33	33	dmg		60	120	splash	proc_SplashDamage	100	1									0
Headhunter's Glory	100	1		1	1	70	70	ush	troll nest			3	5000				invbshu				ac		320	420	ac-miss		100	350	res-pois		30	40	res-fire		20	30	heal-kill		5	7																													0
Steelrend	100	1		1	1	70	70	uhg	ogre gauntlets			3	5000								ac		170	210	str		15	20	dmg%		60	120	crush		2	2																																	0
Rainbow Facet	100	1		1	1	72	70	jew	jewel			3	5000								dmg-ltng		1	100	pierce-ltng		1	10	extra-ltng		1	10	death-skill	Chain Lightning	100	60	swing2		1	5	cast3		1	5																									0
Rainbow Facet1	100	1		1	1	72	70	jew	jewel			3	5000								dmg-cold	3	25	50	pierce-cold		1	10	extra-cold		1	10	death-skill	Blizzard	100	60	swing2		1	5	cast3		1	5																									0
Rainbow Facet2	100	1		1	1	72	70	jew	jewel			3	5000								dmg-fire		20	70	pierce-fire		1	10	extra-fire		1	10	death-skill	Meteor	100	60	swing2		1	5	cast3		1	5																									0
Rainbow Facet3	100	1		1	1	72	70	jew	jewel			3	5000								dmg-pois	50	200	200	pierce-pois		1	10	extra-pois		1	10	death-skill	Poison Nova	100	60	swing2		1	5	cast3		1	5																									0
Rainbow Facet4	100	1		1	1	70	1	cm1	Small Charm	1	1	5	5000			flpgsy	invgsye	item_jewel	12	item_jewel	levelup-skill	Nova	100	60	res-ltng-max		5	20	res-ltng		50	95																																					0
Rainbow Facet5	100	1		1	1	70	1	cm1	Small Charm	1	1	5	5000			flpgsb	invgsbe	item_jewel	12	item_jewel	levelup-skill	Frost Nova	100	60	res-cold-max		5	20	res-cold		50	95																																					0
Rainbow Facet6	100	1		1	1	70	1	cm1	Small Charm	1	1	5	5000			flpgsr	invgsre	item_jewel	12	item_jewel	levelup-skill	Blaze	100	10	res-fire-max		5	20	res-fire		50	95																																					0
Rainbow Facet7	100	1		1	1	70	1	cm1	Small Charm	1	1	5	5000			flpgsg	invgsge	item_jewel	12	item_jewel	levelup-skill	Venom	100	10	res-pois-max		5	20	res-pois		50	95																																					0
Hellfire Torch	100	1		1	1	99	1	cm2	charm		1	3	5000			flptrch	invtrch	item_gem	12	item_gem	allskills		1	7	all-stats		5	30	res-all		5	30	light		9	9	hit-skill	Hydra	5	40	addxp		50	100																									0
GoN Items																																																																					0
Azurewrath	100	1		1	1	70	70	7cr	phase blade	1		5	5000	lgry			invcrs				dmg-mag		100	500	dmg%		100	270	aura	Sanctuary	10	13	dmg-cold	250	250	500	swing2		15	35	all-stats		5	15	light		3	3	allskills		1	1	splash	proc_SplashDamage	100	1													0
The Gavel of Pain	100	1		1	1	53	45	9gm	Martel de Fer			5	5000				inv9gmu				hit-skill	66	5	1	gethit-skill	76	5	1	oskill	Amplify Damage	3	8	ethereal		1	1	indestruct		1	1	dmg-norm		12	30	dmg%		100	180	splash	proc_SplashDamage	100	1																	0
Wizardspike	100	1		1	1	69	61	7dg	Bone Knife			5	5000	lgry	lgry						mana/lvl	16			regen-mana		15	15	mana%		10	20	res-all		75	75	ethereal		1	1	indestruct		1	1	cast3		25	70	gethit-skill	Frozen Orb	5	20	splash	proc_SplashDamage	100	1													0
Harlequin Crest	100	1		1	1	69	62	ci1	Coronet			3	5000	cgrn	cgrn	flpci2	invci3				allskills		2	2	hp		100	120	mana		100	120	mag%		50	50	red-dmg%		10	15	str		5	5	dex		5	15	vit		5	5	enr		5	5	ac		100	100									0
Leviathan	100	1		1	1	70	65	uld	kraken shell			5	5000	cgrn	cgrn						ac%		100	200	ac		100	150	red-dmg%		15	25	str		40	50	ethereal		1	1	indestruct		1	1	aura	Defiance	1	3																					0
Doombringer1	100	0		1	1	70	69	7b7	Champion Sword			5	5000	dred	dred		invbswu				hp%		10	25	dmg%		100	250	att%		40	40	ethereal		1	1	indestruct		1	1	dmg-norm		30	100	hit-skill	72	8	3	lifesteal		5	7	splash	proc_SplashDamage	100	1													0
Steelpillar	100	1		1	1	70	69	7p7	war pike			3	5000								dmg%		100	250	swing2		25	25	reduce-ac		20	20	ac%		50	80	ethereal		1	1	indestruct		1	1	crush		5	5	splash	proc_SplashDamage	100	1																	0
Stormspire	100	1		1	1	70	70	7wc	Giant Thresher			5	5000	dblu	dblu						res-ltng		50	50	gethit-skill	53	5	5	dmg%		100	250	str		10	10	gethit-skill	38	5	20	swing2		15	35	ethereal		1	1	indestruct		1	1	dmg-ltng		1	237	*enr		-10	-10	splash	proc_SplashDamage	100	1					0
Stormshield	100	1		1	1	70	70	uit	Monarch			3	5000				invkitu				ac/lvl	30			red-dmg%		35	35	str		30	30	ethereal		1	1	indestruct		1	1	block2		20	40	res-ltng		25	25	block		25	25	res-cold		60	60													0
Schaefer's Hammer	100	1		1	1	70	70	7wh	Legendary Mallet			5	5000	lblu	lblu						hit-skill	42	20	10	hp		30	60	att/lvl	16			res-ltng		50	75	swing2		10	25	dmg/lvl	16			ethereal		1	1	indestruct		1	1	dmg%		100	130	light		1	1	dmg-ltng		50	200	splash	proc_SplashDamage	100	1	0
The Grandfather	100	1		1	1	70	70	7gd	Colossus Blade			5	5000	lyel	lyel		invgsdu				str		20	20	dex		20	20	vit		20	20	enr		20	20	att%		30	60	hp		50	100	dmg/lvl	20			ethereal		1	1	indestruct		1	1	dmg%		150	250	splash	proc_SplashDamage	100	1					0
Crown of Ages	100	1		1	1	70	70	urn	corona	1		3	5000	dgld	dgld						balance2		30	30	res-all		20	30	allskills		1	1	ac		100	150	ethereal		1	1	indestruct		1	1	red-dmg%		10	15	ac%		30	65																	0
Tyrael's Might	100	1		1	1	70	70	uar	sacred armor	1		5	5000	cred	cred		invaaru				ease		-100	-100	aura	Redemption	5	15	ac%		100	150	dmg-demon		50	100	nofreeze		1	1	move2		10	25	res-all		20	30	str		20	30	allskills		1	3	ethereal		1	1									0
The Cranium Basher	100	1		1	1	70	70	7gm	Thunder Maul			5	5000	blac	blac						swing2		10	25	ethereal		1	1	indestruct		1	1	str		25	25	res-all		15	30	crush		15	15	dmg-norm		20	20	dmg%		100	250	hit-skill	66	5	1	*mana		-30	-30	splash	proc_SplashDamage	100	1					0
Darogaloh	100	1		1	1	1	1	cm1	Small Charm		1	5	1000	blac	blac						rip		1	1																																													0
Counter	100	0		1	1	1	1	cm1	Small Charm		1	3	5000			flpgsw	soulstone	item_gem	12	item_gem																																																	0
DarkStone	100	0		1	1	1	1	cm1	Small Charm	1	1	3	5000			flpeye	inveye	item_monsterguts	14	item_monsterguts																																																	0
Abaddon's Eye	100	1		1	1	70	40	cm1	Small Charm	1	1	3	5000			flpeye	inveye	item_monsterguts	14	item_monsterguts	allskills		1	2	res-all		15	25	lifesteal		5	10	manasteal		10	15	aura	Sanctuary	1	5																													0
WakeOfHorror	100	1		1	1	50	40	cm1	Large Charm		1	5	5000								gethit-skill	235	5	40	gethit-skill	68	5	40																																									0
Principle Truths	100	1		1	1	64	40	cm2	Large Charm		1	5	5000								all-stats		20	30	res-all		15	30	balance2		10	20	mana%		5	10	addxp		10	20																													0
Edge	100	1		1	1	53	20	cm1	Grand Charm		1	5	5000								move2		10	20	mana-kill		10	20	regen		10	30	half-freeze		1	1	res-pois-len		50	95	gethit-skill	Quickness	5	1																									0
Dawn of the Dead	100	1		1	1	70	40	cm1	Grand Charm		1	5	5000								reanimate	3	5	1	reanimate	174	5	1	reanimate	173	5	1																																					0
RageOfTheDead	100	0		1	1	70	40	cm1	Grand Charm	1	1	5	5000								oskill	Skeleton Mastery	20	20	oskill	Raise Skeleton	10	20	oskill	Raise Skeletal Mage	10	20																																					0
CobraStrike	100	1		1	1	70	40	marr	Magic Arrows			5	5000								dmg%		100	150	dex		15	20	att%		50	50	vit		10	10	dmg-pois	25	2500	5000	dmg-mag		240	360	crush		3	3	reanimate	174	5	1	rep-quant	63			ama		1	2	openwounds		50	50					0
FrozenStorm	100	1		1	1	70	40	mbol	Magic Bolts			5	5000								dmg%		100	150	str		15	20	att%		50	75	vit		10	10	dmg-cold	320	200	500	dmg-mag		240	360	openwounds		50	50	reanimate	174	5	1	rep-quant	63			ama		1	2	crush		3	3					0
Magnit	100	0		1	1	3	2	buc	Bucler			5	5000								res-all		-50	-50	mag%/lvl	24																																											0
Nurgle's Plague	100	1		1	1	70	70	ush	Troll Nest			5	5000	cgrn	cgrn	flpne4	invne4				skill	Poison Nova	3	5	oskill	Poison Dagger	20	20	reanimate	467	50	50	res-pois		95	95	res-pois-max		20	20	block		15	30	move2		-40	-25	cast2		-30	-15	ac%		210	280	red-dmg%		20	20									0
Rakanishu Skin	100	1		1	1	5	4	lea	Leather Armor			5	5000	cblu	cblu						gethit-skill	Charged Bolt	100	30	ac%		30	40	howl		5	5	res-all		10	15	str		5	10	vit		1	5	res-fire		5	5	mag%		10	10																	0
Gnome's Mail	100	1		1	1	25	23	chn	Chain Mail			5	5000								hp		30	60	res-fire		35	35	res-cold		35	35	dmg-fire		20	40	str		10	10	oskill	Iron Skin	1	3																									0
Archangel Cuirass	100	1		1	1	70	70	utp	Archon Plate			5	5000	whit	whit						ac%		100	250	block2		30	30	balance2		10	35	dmg-demon		300	300	res-all		45	45	red-dmg%		15	15	nofreeze		1	1	rip		1	1																	0
Skeleton	100	1		1	1	15	10	bhm	Bone Helm			5	5000								reanimate	0	5	5	ac		20	20	slow		5	5	res-all		5	5	res-fire		10	10	all-stats		2	2	mana-kill		2	2																					0
Revenant Skull	100	1		1	1	70	70	uh9	bone visage			5	5000	blac	blac						ac%		100	200	crush		4	5	red-dmg		10	15	res-all		5	15	lifesteal		7	10	dmg-cold	50	75	145	vit		10	25	hit-skill	74	5	10																	0
Crush Leg	100	1		1	1	8	7	vbt	Heavy Boots			5	5000	dyel	dyel						vit		5	5	ac%		15	20	move2		10	25	lifesteal		1	1	crush		5	5	red-dmg		1	2																									0
WizArm	100	1		1	1	70	65	xtg	Battle Gauntlets			5	5000								cast2		10	25	mana%		15	15	res-fire		10	10	res-all		15	15	mana/lvl	4			hp/lvl	4			lifesteal		5	5	oskill	Warmth	1	3																	0
Black Rider	100	1		1	1	7	5	ssd	Short Sword			5	5000	blac	blac						dmg-mag		5	10	dmg%		50	50	swing2		20	50	crush		15	15	noheal		1	1	splash	proc_SplashDamage	100	1																									0
Pain Shifter	100	1		1	1	70	65	9cr	Dimensional Blade			5	5000	whit	whit						dmg-cold	75	167	368	dmg%		200	250	swing2		20	40	noheal		1	1	deadly		35	35	manasteal		4	4	splash	proc_SplashDamage	100	1																					0
Overlord's Blade	100	0		1	1	70	70	7ls	cryptic sword			5	5000								dmg%		100	150	hit-skill	Stun	5	8	pal		1	3	aura	Concentration	1	3	dmg-ltng		1	920	swing2		30	75	ethereal		1	1	dmg-min		75	75	dmg-max		125	125	splash	proc_SplashDamage	100	1									0
Forsworn2	100	1		1	1	70	70	7ls	Cryptic Sword			5	5000								state	monsterset-knight	1	1	hit-skill	Amplify Damage	10	20	regen		-30	30	vit		-30	30	dmg%		100	250	ethereal		1	1	res-all		-50	-50	gethit-skill	Bone Armor	5	20	swing2		75	75	splash	proc_SplashDamage	100	1									0
Blood Blade	100	1		1	1	70	70	7gs	balrog blade			5	5000	dred							hp%		30	60	dmg-min		110	110	dmg-max		90	90	swing2		20	70	att/lvl	128			dmg-demon		180	180	att-demon		230	230	splash	proc_SplashDamage	100	1																	0
Blade of King leoric	100	1		1	1	70	70	7gd	Colossus Blade			5	5000	blac			inv9fbu				dmg%		100	250	swing2		15	35	lifesteal		10	15	regen		-5	5	hit-skill	Amplify Damage	5	10	dmg-mag		50	100	reanimate	440	25	25	reanimate	4	25	25	reanimate	174	25	25	reanimate	277	25	25	splash	proc_SplashDamage	100	1					0
Slayer	100	1		1	1	3	1	dgr	Dagger			5	5000				invunidagger1				dmg%		60	120	swing2		25	125	move2		15	15	ethereal		1	1	indestruct		1	1	crush		10	10	splash	proc_SplashDamage	100	1																					0
GRipper	100	1		1	1	45	42	9bl	Stilleto			5	5000								dmg%		100	180	openwounds		10	30	reduce-ac		50	50	skill	Poison Dagger	3	5	dmg-pois	500	2500	5000	splash	proc_SplashDamage	100	1																									0
Spellfire	100	1		1	1	55	51	9b8	Hurlbat			5	5000				invunitaxe1				hit-skill	Blizzard	10	12	hit-skill	Chain Lightning	10	14	hit-skill	Fire Wall	10	8	hit-skill	Poison Nova	10	10	rep-quant	45			pierce		100	100	dmg%		100	250	crush		20	20	swing2		25	25	stack		100	100	splash	proc_SplashDamage	100	1					0
Mage killer	100	1		1	1	70	70	7qr	Scissors Suwayyah			5	5000								dmg%		100	250	swing2		10	25	res-all		35	35	skill	Claw Mastery	3	3	skill	Fade	1	4	ethereal		1	1	indestruct		1	1	ass		1	1	red-mag		20	30	dmg/lvl	1			splash	proc_SplashDamage	100	1					0
Nike	100	1		1	1	4	1	jav	Javelin			5	2500								ama		1	1	rep-quant	100			swing2		10	25	ethereal		1	1	splash	proc_SplashDamage	100	1																													0
Switcher	100	1		1	1	4	1	ob1	Eagle Orb			5	2500								sor		1	1	res-all		5	15	hp		20	20	mana		20	20	splash	proc_SplashDamage	100	1																													0
Aredain	100	1		1	1	15	15	hbw	Hunter's Bow			5	2500								swing2		20	40	dmg%		30	60	dex		10	10	reduce-ac		20	20	dmg-cold	125	20	35																													0
Afterdamp	100	1		1	1	70	85	7bw	Lich Wand			5	5000								oskill	Poison Nova	5	10	extra-pois		10	15	pierce-pois		10	15	noheal		1	1	dmg-pois	100	500	1000	oskill	Poison Explosion	5	20	splash	proc_SplashDamage	100	1																					0
Cain's Hope	100	1		1	1	22	20	rin	Ring			5	5000								red-dmg		10	10	red-mag		10	10	mana		50	75	cast2		15	30	addxp		5	30																													0
Jerhyn's Award0	100	0		1	1	49	45	rin	Ring			5	5000								mag%		60	100	cheap		10	10	oskill	Teleport	1	1																																					0
Rebirth	100	1		1	1	12	10	amu	Amulet			5	5000				invvip				att		50	100	dmg%		5	10	dmg-ltng		5	10	dmg-cold		5	10																																	0
Merlin	100	1		1	1	70	70	amu	Amulet			5	5000				invuniamulet3				allskills		1	2	extra-fire		8	10	extra-ltng		8	10	extra-cold		8	10	extra-pois		8	10	cast2		10	25	res-all		20	20	hp%		10	25																	0
Afterlife	100	1		1	1	72	50	jew	jewel			5	5000								pierce-fire		1	7	pierce-pois		1	7	pierce-ltng		1	7	pierce-cold		1	7	all-stats		5	50	dmg%		5	30	swing2		5	25	cast3		5	25																	0
Vial of blood	100	1		1	1	40	1	cm2	Large Charm		1	5	2500				invunicharm1				hp/lvl	20			regen		30	30	hp		50	200																																					0
Painkiller	100	0		1	1	70	70	sst	Short Staff			5	5000	whit	whit																																																						0
Illusion Kaleidoscope	100	0		1	1	0	0	buc	Bucler	1		5	5000	whit	whit																																																						0
Marasmus	100	1		1	1	70	40	cm1	Small Charm	1	1	5	5000			flpmss	invmss	item_gem	12	item_gem	gethit-skill	130	5	20	gethit-skill	81	5	20	addxp		10	25																																					0
Barb Soul	100	0		1	1	70	70	cm1	Small Charm	1	1	3	5000				soulstone		12		oskill	Battle Orders	1	20	oskill	Battle Command	1	1	oskill	Enchant	1	20																																					0
Windfury	100	1		1	1	70	65	7gd	Colossus Blade			5	5000	lyel	lyel		invgsdu				gethit-skill	250	10	20	hit-skill	245	15	20	oskill	40	1	1	deadly		25	50	att%		50	100	move2		15	50	dmg/lvl	24			ethereal		1	1	rep-dur	4			oskill	splash	proc_SplashDamage	100	1	240	50	20	swing2		10	50	0
Son of Odin	100	1		1	1	70	65	7wh	Legendary Mallet			5	5000	lblu	lblu						res-ltng		95	95	gethit-skill	48	25	20	dmg%		100	250	hit-skill	53	10	20	oskill	57	1	3	swing2		30	50	res-ltng-max		20	20	rep-dur	8			dmg-ltng		50	250	dmg-mag		50	150									0
Arcane Shard	100	1		1	1	72	40	jew	jewel			5	5000								mana		20	60	mana%		1	5	regen-mana		5	20	dmg-mag		50	100	res-mag		5	5																													0
Leorik Signet0	100	0		1	1	40	20	rin	Ring			5	5000								regen		-5	-30	lifesteal		5	30	addxp		5	35																																					0
Melz Melting	100	1		1	1	70	65	6lw	Hydra Bow			5	5000	dyel	dyel						dmg%		100	250	hit-skill	74	5	20	att%		15	50	knock		1	1	swing2		15	50	ama		1	5	dmg/lvl	40			ignore-ac		1	1	hit-skill	56	5	20													0
Redeye	100	0		1	1	70	1	amu	Amulet			5	5000			flptail	invtail	item_monsterguts	14	item_monsterguts	state	188	1	1																																													0
Redeye2	100	0		1	1	70	1	amu	Amulet			5	5000			flptail	invtail	item_monsterguts	14	item_monsterguts	state	189	1	1																																													0
Redeye3	100	0		1	1	70	1	amu	Amulet			5	5000			flptail	invtail	item_monsterguts	14	item_monsterguts	state	190	1	1																																													0
Redeye4	100	0		1	1	70	1	amu	Amulet			5	5000			flptail	invtail	item_monsterguts	14	item_monsterguts	state	187	1	1																																													0
Redeye5	100	0		1	1	70	1	amu	Amulet			5	5000			flptail	invtail	item_monsterguts	14	item_monsterguts	state	191	1	1																																													0
Determination	100	1		1	1	40	1	amu	Amulet			5	5000								att%		50	150	red-dmg%		10	10	att-skill	66	10	1																																					0
HeirSword1	100	1		1	1	1	1	ssd	Short Sword			5	5000	whit	whit						dmg/lvl	24			att/lvl	10			att%		10	10	addxp		20	50	oskill	127	1	1	splash	proc_SplashDamage	100	1																									0
HeirSash1	100	1		1	1	1	1	lbl	Sash			5	5000	whit	whit						hp/lvl	8			mana/lvl	8			ac/lvl	16			addxp		20	50	oskill	145	1	1																													0
Jerhyn's Award	100	1		1	1	45	45	rin	Ring			5	5000								mag%		60	100	cheap		10	10	oskill	Teleport	1	1																																					0
Doombringer	100	1		1	1	70	69	7b7	Champion Sword			5	5000	dred	dred		invbswu				hp%		20	20	dmg%		100	250	att%		20	50	ethereal		1	1	indestruct		1	1	dmg-norm		30	100	hit-skill	72	8	3	lifesteal		5	7	splash	proc_SplashDamage	100	1													0
Leorik Signet	100	1		1	1	20	20	rin	Ring			5	5000								regen		-5	-30	lifesteal		5	30	addxp		5	35																																					0
Argon's Cloak	100	1		1	1	60	70	cl15	Spectre Shroud			5	5000								extra-pois		5	20	cast2		10	50	extra-fire		5	20	extra-cold		5	20	extra-ltng		5	20	regen-mana		50	100	oskill	Teleport	1	1	red-mag		15	30	red-dmg		15	30	res-all		50	75	ac%		100	250	light		4	8	0
Skeleton Master	100	1		1	1	60	70	cl12	Spurting Shadows			5	5000								skill	Skeleton Mastery	7	7	skill	Raise Skeleton	7	7	skill	Raise Skeletal Mage	7	7	oskill	Skeleton Mastery	3	10	oskill	Raise Skeleton	3	10	oskill	Raise Skeletal Mage	3	10	res-all		50	75	ac%		100	250	light		4	8	red-mag		20	20	red-dmg		20	20					0
Pet Master	100	1		1	1	60	70	cl13	Illusions Weaver			5	5000								skill	Summon Spirit Wolf	7	7	sloll	Summon Fenris	7	7	skill	Summon Grizzly	7	7	oskill	Summon Spirit Wolf	3	10	oskill	Summon Fenris	3	10	oskill	Summon Grizzly	3	10	res-all		50	75	ac%		100	250	light		4	8	red-mag		20	20	red-dmg		20	20					0
Monk's Cover	100	1		1	1	60	70	cl14	Cover of Dusk			5	5000								oskill	Sword Mastery	3	20	oskill	Axe Mastery	3	20	oskill	Mace Mastery	3	20	oskill	Pole Arm Mastery	3	20	oskill	Spear Mastery	3	20	oskill	Zeal	3	10	aura	Fanaticism	1	10	red-mag		20	20	red-dmg		20	20	res-all		50	75	ac%		100	250	light		4	8	0
Rookie Mage's Robe	100	1		1	1	1	10	cl1	Acolyte's Robe			5	5000								oskill	Lightning Mastery	1	3	oskill	Cold Mastery	1	3	oskill	Fire Mastery	1	3	res-all		10	25	ac%		100	250	light		4	8	red-mag		5	5	red-dmg		5	5																	0
Wanderer's Cloak	100	1		1	1	1	10	cl2	Cloak of Shadows			5	5000								oskill	Quickness	1	3	skill	Claw Mastery	3	7	skill	Weapon Block	3	7	res-all		10	25	ac%		100	250	light		4	8	red-mag		5	5	red-dmg		5	5																	0
Cover Of Randomness	100	1		1	1	1	10	cl3	Cover of Illusions			5	5000								skill-rand	3	6	35	skill-rand	3	36	65	skill-rand	3	66	95	skill-rand	3	96	125	skill-rand	3	126	155	skill-rand	3	221	250	skill-rand	3	251	280	res-all		10	25	ac%		100	250	light		4	8	red-mag		5	5	red-dmg		5	5	0
Blanket Of Homeless	100	1		1	1	1	10	cl4	Cover of Darkness			5	5000								aura	Vigor	1	10	gethit-skill	Howl	5	10	oskill	Leap Attack	3	10	oskill	Taunt	3	10	oskill	Find Potion	3	10	res-all		10	25	ac%		100	250	light		4	8	red-mag		5	5	red-dmg		5	5									0
Tantrica	100	1		1	1	1	10	cl5	Ghost Cloak			5	5000								oskill	Shadow Master	5	20	skill	Shadow Warrior	5	20	res-all		25	50	ac%		100	250	light		4	8	red-mag		5	5	red-dmg		5	5																					0
Lightning Mage's Belongings	100	1		1	1	30	40	cl6	Master's Robe			5	5000								oskill	Lightning Mastery	1	3	aura	Holy Shock	10	20	extra-ltng		5	20	oskill	Charged Bolt	10	20	oskill	Chain Lightning	10	20	oskill	Energy Shield	1	1	oskill	Nova	10	20	res-all		25	50	ac%		100	250	light		4	8	red-mag		10	10	red-dmg		10	10	0
Ice Mage's Belongings	100	1		1	1	30	40	cl7	Fluid Cloak			5	5000								oskill	Cold Mastery	1	3	aura	Holy Freeze	10	20	extra-cold		5	20	oskill	Ice Bolt	10	20	oskill	Frozen Orb	10	20	oskill	Frozen Armor	10	20	oskill	Frost Nova	10	20	res-all		25	50	ac%		100	250	light		4	8	red-mag		10	10	red-dmg		10	10	0
Fire Mage's Belongings	100	1		1	1	30	40	cl8	Illusions Wave			5	5000								oskill	Fire Mastery	1	3	aura	Holy Fire	10	20	extra-fire		5	20	oskill	Fire Bolt	10	20	oskill	Meteor	10	20	oskill	Warmth	10	20	oskill	Fire Ball	10	20	res-all		25	50	ac%		100	250	light		4	8	red-mag		10	10	red-dmg		10	10	0
Bone Mage's Belongings	100	1		1	1	30	40	cl9	Flying Darkness			5	5000								oskill	Teeth	10	20	skill	Teeth	7	7	oskill	Bone Spirit	10	20	skill	Bone Spirit	7	7	oskill	Bone Spear	10	20	skill	Bone Spear	7	7	skill	Bone Armor	7	7	res-all		25	50	ac%		100	250	light		4	8	red-mag		10	10	red-dmg		10	10	0
Poison Mage's Belongings	100	1		1	1	30	40	cl10	Ghost Shroud			5	5000								oskill	Poison Explosion	10	10	skill	Poison Explosion	7	7	oskill	Poison Dagger	10	10	skill	Poison Dagger	7	7	oskill	Poison Nova	10	10	skill	Poison Nova	7	7	extra-pois		10	30	res-all		25	50	ac%		100	250	light		4	8	red-mag		10	10	red-dmg		10	10	0
